,siteID,measurementType,storageType,year,month,day,magnification,n,order,phylum,genus,spp,url,idNum
28,1,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_02.bmp,3
29,1,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_2_03.bmp,2
30,1,sus1a,f,2014,7,17,40x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_04.bmp,3
31,1,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_05.bmp,3
32,1,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_06.bmp,3
33,1,sus1a,f,2014,7,17,40x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_07.bmp,3
34,1,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_08.bmp,3
35,1,sus1a,f,2014,7,17,40x,3,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_09.bmp,3
36,2,sus1a,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_4_00.bmp,4
37,2,sus1a,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_4_01.bmp,4
38,2,sus1a,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_4_02.bmp,4
39,2,sus1a,f,2014,7,17,10x,3,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_3_03.bmp,3
40,2,sus1a,f,2014,7,17,10x,1,null,Gamophyceae,null,Desmids,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_5_03.bmp,5
41,2,sus1a,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_4_07.bmp,4
42,2,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_3_08.bmp,3
43,2,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_10x_3_09.bmp,3
44,2,sus1a,f,2014,7,17,20x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_4_00.bmp,4
45,2,sus1a,f,2014,7,17,20x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_3_01.bmp,3
46,2,sus1a,f,2014,7,17,20x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_6_01.bmp,6
47,2,sus1a,f,2014,7,17,20x,1,Heliozoea,Sacrodina,null,Heliozoans,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_8_02.bmp,8
48,2,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_3_04.bmp,3
49,2,sus1a,f,2014,7,17,20x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_6_04.bmp,6
50,2,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_2_05.bmp,2
51,2,sus1a,f,2014,7,17,20x,1,Heliozoea,Sacrodina,null,Heliozoans,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_8_05.bmp,8
52,2,sus1a,f,2014,7,17,20x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_6_06.bmp,6
53,2,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_3_08.bmp,3
54,2,sus1a,f,2014,7,17,20x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_4_09.bmp,4
55,2,sus1a,f,2014,7,17,20x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_20x_4_10.bmp,4
56,2,sus1a,f,2014,7,17,40x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_4_00.bmp,4
57,2,sus1a,f,2014,7,17,40x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_6_01.bmp,6
58,2,sus1a,f,2014,7,17,40x,1,Heliozoea,Sacrodina,null,Heliozoans,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_8_02.bmp,8
59,2,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_3_05.bmp,3
60,2,sus1a,f,2014,7,17,40x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_4_05.bmp,4
61,2,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_2_06.bmp,2
62,2,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_3_07.bmp,3
63,2,sus1a,f,2014,7,17,40x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_6_08.bmp,6
64,2,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_3_09.bmp,3
65,2,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1a_2014_7_17_40x_3_10.bmp,3
66,2,sus1b,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_4_00.bmp,4
67,2,sus1b,f,2014,7,17,10x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_3_01.bmp,3
68,2,sus1b,f,2014,7,17,10x,1,null,Chlorophyceae,null,"Green algae (with flagella, small)",/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_1_02.bmp,1
69,2,sus1b,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_4_02.bmp,4
70,2,sus1b,f,2014,7,17,10x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_6_02.bmp,6
71,2,sus1b,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_3_03.bmp,3
72,2,sus1b,f,2014,7,17,10x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_6_03.bmp,6
73,2,sus1b,f,2014,7,17,10x,3,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_3_04.bmp,3
74,2,sus1b,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_2_05.bmp,2
75,2,sus1b,f,2014,7,17,10x,4,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_6_05.bmp,6
76,2,sus1b,f,2014,7,17,10x,4,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_3_08.bmp,3
77,2,sus1b,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_10x_2_09.bmp,2
78,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_3_00.bmp,3
79,2,sus1b,f,2014,7,17,20x,2,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_2_01.bmp,2
80,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_3_01.bmp,3
81,2,sus1b,f,2014,7,17,20x,2,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_2_02.bmp,2
82,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_3_02.bmp,3
83,2,sus1b,f,2014,7,17,20x,2,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_6_02.bmp,6
84,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_3_05.bmp,3
85,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_2_06.bmp,2
86,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_2_07.bmp,2
87,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_3_07.bmp,3
88,2,sus1b,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_20x_2_08.bmp,2
89,2,sus1b,f,2014,7,17,40x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_6_00.bmp,6
90,2,sus1b,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_2_01.bmp,2
91,2,sus1b,f,2014,7,17,40x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_6_01.bmp,6
92,2,sus1b,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_3_02.bmp,3
93,2,sus1b,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_2_03.bmp,2
94,2,sus1b,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_3_06.bmp,3
95,2,sus1b,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_2_07.bmp,2
96,2,sus1b,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_2_08.bmp,2
97,2,sus1b,f,2014,7,17,40x,1,null,Dinoflagellate,null,Dinoflagellates,/Users/maxcaplow/Desktop/images/2_sus1b_2014_7_17_40x_10_09.bmp,10
98,2,sus1c,f,2014,7,17,10x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_6_00.bmp,6
99,2,sus1c,f,2014,7,17,10x,3,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_2_01.bmp,2
100,2,sus1c,f,2014,7,17,10x,1,null,Chlorophyceae,null,"Green algae (with flagella, small)",/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_1_02.bmp,1
101,2,sus1c,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_3_02.bmp,3
102,2,sus1c,f,2014,7,17,10x,2,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_4_03.bmp,4
103,2,sus1c,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_2_04.bmp,2
104,2,sus1c,f,2014,7,17,10x,1,null,null,null,Blue-green algae (cyanobacteria),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_9_04.bmp,9
105,2,sus1c,f,2014,7,17,10x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_6_05.bmp,6
106,2,sus1c,f,2014,7,17,10x,1,null,null,null,Blue-green algae (cyanobacteria),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_9_05.bmp,9
107,2,sus1c,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_2_06.bmp,2
108,2,sus1c,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_4_06.bmp,4
109,2,sus1c,f,2014,7,17,10x,2,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_2_07.bmp,2
110,2,sus1c,f,2014,7,17,10x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_6_07.bmp,6
111,2,sus1c,f,2014,7,17,10x,3,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_2_08.bmp,2
112,2,sus1c,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_4_08.bmp,4
113,2,sus1c,f,2014,7,17,10x,1,null,null,null,Blue-green algae (cyanobacteria),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_9_08.bmp,9
114,2,sus1c,f,2014,7,17,10x,3,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_2_09.bmp,2
115,2,sus1c,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_10x_3_09.bmp,3
116,2,sus1c,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_2_09.bmp,2
117,2,sus1c,f,2014,7,17,20x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_6_09.bmp,6
118,2,sus1c,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_2_00.bmp,2
119,2,sus1c,f,2014,7,17,20x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_3_00.bmp,3
120,2,sus1c,f,2014,7,17,20x,2,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_2_01.bmp,2
121,2,sus1c,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_2_02.bmp,2
122,2,sus1c,f,2014,7,17,20x,1,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_6_02.bmp,6
123,2,sus1c,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_3_03.bmp,3
124,2,sus1c,f,2014,7,17,20x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_4_04.bmp,4
125,2,sus1c,f,2014,7,17,20x,2,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_4_06.bmp,4
126,2,sus1c,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_2_05.bmp,2
127,2,sus1c,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_3_05.bmp,3
128,2,sus1c,f,2014,7,17,20x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_4_05.bmp,4
129,2,sus1c,f,2014,7,17,20x,1,null,Gamophyceae,null,Desmids,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_5_05.bmp,5
130,2,sus1c,f,2014,7,17,20x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_4_07.bmp,4
131,2,sus1c,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_3_08.bmp,3
132,2,sus1c,f,2014,7,17,20x,2,null,null,null,Blue-green algae (cyanobacteria),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_20x_9_08.bmp,9
133,2,sus1c,f,2014,7,17,40x,2,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_2_08.bmp,2
134,2,sus1c,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_3_00.bmp,3
135,2,sus1c,f,2014,7,17,40x,1,null,null,null,Blue-green algae (cyanobacteria),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_9_00.bmp,9
136,2,sus1c,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_3_02.bmp,3
137,2,sus1c,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_2_03.bmp,2
138,2,sus1c,f,2014,7,17,40x,1,null,null,null,Blue-green algae (cyanobacteria),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_9_03.bmp,9
139,2,sus1c,f,2014,7,17,40x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_4_05.bmp,4
140,2,sus1c,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/2_sus1c_2014_7_17_40x_3_06.bmp,3
141,6,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_2_00.bmp,2
142,6,sus1a,f,2014,7,17,10x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_3_00.bmp,3
143,6,sus1a,f,2014,7,17,10x,2,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_6_00.bmp,6
144,6,sus1a,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_4_02.bmp,4
145,6,sus1a,f,2014,7,17,10x,1,null,Dinoflagellate,null,Dinoflagellates,/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_10_03.bmp,10
146,6,sus1a,f,2014,7,17,10x,3,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_3_04.bmp,3
147,6,sus1a,f,2014,7,17,10x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_4_04.bmp,4
148,6,sus1a,f,2014,7,17,10x,2,null,Bacillariophyceae,null,Diatoms,/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_6_05.bmp,6
149,6,sus1a,f,2014,7,17,10x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_3_06.bmp,3
150,6,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_2_07.bmp,2
151,6,sus1a,f,2014,7,17,10x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_3_07.bmp,3
152,6,sus1a,f,2014,7,17,10x,5,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_2_08.bmp,2
153,6,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/6_sus1a_2014_7_17_10x_3_01.bmp,3
